"asking_price","cashflows","Cap_Rate"
4200000,1e+06,0.24
3300000,850000,0.26
2200000,6e+05,0.27
4e+06,1e+06,0.25
2500000,7e+05,0.28
1500000,4e+05,0.27
4400000,936326,0.21
4500000,1350000,0.3
4495000,912523,0.2
5500000,0,0
640000,225000,0.35
1200000,3e+05,0.25
7e+05,5e+05,0.71
1400000,343909,0.25
1049000,320508,0.31
1100000,340000,0.31
4e+06,1425198,0.36
1250000,410000,0.33
1.1e+07,2019784,0.18
670000,190000,0.28
2399999,580391,0.24
6850000,0,0
4999999,594182,0.12
3100000,9e+05,0.29
1200000,350000,0.29
3950000,850000,0.22
1100000,3e+05,0.27
3250000,750000,0.23
7500000,1800000,0.24
1800000,5e+05,0.28
6500000,1200000,0.18
3750000,1e+06,0.27
0,0,0
2950000,950000,0.32
1200000,350000,0.29
750000,0,0
3200000,1e+06,0.31
6e+06,1500000,0.25
2600000,650000,0.25
0,2770408,0
